id,name,type,party,sex,age
Platzeck,Matthias Platzeck,0,11,1,4
Pofalla,Ronald Pofalla,0,9,1,4
Praetorius,Barbara Praetorius,0,13,2,6
Tillich,Stanislaw Tillich,0,9,1,4
Hasselfeldt,Gerda Hasselfeldt,0,10,2,4
Kampeter,Steffen Kampeter,0,9,1,3
Kapferer,Stefan Kapferer,0,1,1,3
Kempf,Dieter Kempf,0,13,1,4
Nemat,Claudia Nemat,0,13,2,3
Reiche,Katherina Reiche,0,9,2,2
Roestel,Gunda Roestel,0,12,2,3
Schweitzer ,Eric Schweitzer,0,13,1,3
Grothus,Antje Grothus,0,13,2,6
Wodtke,Hannelore Wodtke,0,9,2,6
Herntier,Christine Herntier,0,13,2,4
Kreuzberg,Michael Kreuzberg,0,9,1,4
Priggen,Reiner Priggen,0,12,1,4
Vassiliadis,Michael Vassiliadis,0,11,1,3
Scheidt,Andreas Scheidt,0,11,1,3
Koerzell,Stefan Koerzell,0,11,1,3
Kaiser,Martin Kaiser,0,13,1,3
Weiger,Hubert Weiger,0,13,1,5
Niebert,Kai Niebert,0,13,1,1
Allmendinger,Jutta Allmendinger,0,13,2,4
Matthes,Felix Matthes,0,13,1,3
Schellnhuber,Hans Joachim Schellnhuber,0,13,1,4
Niebuhr,Annekathrin Niebuhr,0,13,2,6
Wehrspohn ,Ralf Wehrspohn,0,13,1,2
Laemmel,Andreas Laemmel,0,9,1,3
Lenz,Andreas Lenz,0,10,1,1
Miersch,Matthias Miersch,0,11,1,2
